"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU  -  <b>VALUE</b>","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU  -  <b>CV (%)</b>","BARLEY - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","BARLEY - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>"
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","","","77.4",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","4.68","","72.6",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","5.17","","77.9",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","5.24","","69.1",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","5.65","","72.7",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","6.26","","71.3",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","5.98","","66.9",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","4.79","","69.1",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","4","","73.1",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","4.83","","72.8",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","5","","63.3",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","3.59","","60",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","2.72","","61.1",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","2.43","","64.8",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","2.61","","69.6",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","2.86","","58.9",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","2.39","","55",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","2.14","","58.1",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","2.14","","61.1",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","1.99","","59.5",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","2.13","","60.1",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","2.39","","58.1",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","3.07","","58.5",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","","","57.2",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","","","56.2",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","","","58.9",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","","","62.5",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BARLEY","TOTAL","NOT SPECIFIED","","","55.2",""
