"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","COTTON - YIELD, MEASURED IN LB / ACRE  -  <b>VALUE</b>","COTTON - YIELD, MEASURED IN LB / ACRE  -  <b>CV (%)</b>","COTTON, PIMA - PRICE RECEIVED, MEASURED IN $ / LB  -  <b>VALUE</b>","COTTON, PIMA - PRICE RECEIVED, MEASURED IN $ / LB  -  <b>CV (%)</b>"
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","860","","",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","905","","",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","867","","",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","766","","",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","838","","",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","821","","",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","892","","",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","790","","",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","812","","",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","776","","",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","813","","",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","879","","",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","814","","",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","831","","",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","855","","0.99",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","730","","1.21",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","665","","0.86",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","705","","0.86",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","632","","1",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","607","","0.85",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","625","","0.92",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","673","","1.01",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","705","","1.07",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","537","","",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","708","","",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","606","","",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","700","","",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","652","","",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","634","","",""
"SURVEY","1989","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","614","","",""
"SURVEY","1988","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","619","","",""
"SURVEY","1987","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","706","","",""
"SURVEY","1986","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","552","","",""
"SURVEY","1985","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","630","","",""
"SURVEY","1984","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","600","","",""
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","508","","",""
"SURVEY","1982","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","590","","",""
"SURVEY","1981","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","542","","",""
"SURVEY","1980","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","404","","",""
"SURVEY","1979","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","547","","",""
"SURVEY","1978","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","420","","",""
"SURVEY","1977","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","520","","",""
"SURVEY","1976","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","465","","",""
"SURVEY","1975","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","453","","",""
"SURVEY","1974","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","442","","",""
"SURVEY","1973","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","520","","",""
"SURVEY","1972","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","507","","",""
"SURVEY","1971","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","438","","",""
"SURVEY","1970","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","438","","",""
"SURVEY","1969","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","434","","",""
"SURVEY","1968","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","516","","",""
"SURVEY","1967","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","447","","",""
"SURVEY","1966","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","480","","",""
"SURVEY","1965","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","527","","",""
"SURVEY","1964","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","517","","",""
"SURVEY","1963","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","517","","",""
"SURVEY","1962","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","457","","",""
"SURVEY","1961","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","438","","",""
"SURVEY","1960","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","COTTON","TOTAL","NOT SPECIFIED","446","","",""
